标题：【资源贴】生活大爆炸回归 s11e16已有。1-11 完整高 	 链接：http://tieba.baidu.com/p/5573486765	 发帖人：掰nice	 发帖时间：3-2	 回复数量：0
标题：【资源贴】生活大爆炸回归 s11e16已有。1-11 完整高 	 链接：http://tieba.baidu.com/p/5576732894	 发帖人：heaven夏树繁华	 发帖时间：3-4	 回复数量：0
标题：【TBBT】S1-S10高清中英双字网盘资源 	 链接：http://tieba.baidu.com/p/5578410348	 发帖人：如水不器	 发帖时间：15:04	 回复数量：3
标题：只有经历过，非人般的生活的人，才明白到尊严是何许东东。 	 链接：http://tieba.baidu.com/p/5578363980	 发帖人：drhfg30	 发帖时间：14:32	 回复数量：1
标题：【吧务】TBBT吧资源网盘 	 链接：http://tieba.baidu.com/p/1989079065	 发帖人：墙角茕茇	 发帖时间：2014-03	 回复数量：392
标题：每天都掉头发 不正常的掉那种，怎么办呢[[生活大爆炸]] 	 链接：http://tieba.baidu.com/p/5489344028	 发帖人：hpk216	 发帖时间：2017-12	 回复数量：0
标题：个人觉得生活大爆炸里的智商排名.. 	 链接：http://tieba.baidu.com/p/3425434836	 发帖人：CH魔君七夜	 发帖时间：2014-11	 回复数量：0
标题：【TBBT】《生活大爆炸》第十季熟肉 	 链接：http://tieba.baidu.com/p/5546422491	 发帖人：玺子	 发帖时间：2-9	 回复数量：111
标题：求生活大爆炸资源，越看越喜欢谢耳朵xdm3085667144 	 链接：http://tieba.baidu.com/p/5578003166	 发帖人：玲Beauty	 发帖时间：09:59	 回复数量：1
标题：为什么他们爱和迪士尼公主XXOO呢？ 	 链接：http://tieba.baidu.com/p/2201418496	 发帖人：麒麟中中	 发帖时间：2013-03	 回复数量：5
标题：求纯英文字母的合集~ 	 链接：http://tieba.baidu.com/p/5575084746	 发帖人：落落v末末	 发帖时间：3-3	 回复数量：2
标题：TBBT 第九  十季资源  万分感谢 	 链接：http://tieba.baidu.com/p/5577962364	 发帖人：UZIiim	 发帖时间：09:24	 回复数量：0
标题：《比得兔》采用真人＋CGI技术，CG部分由曾参与《乐高大世界 	 链接：http://tieba.baidu.com/p/5574250810	 发帖人：洛落洛洛洛	 发帖时间：3-2	 回复数量：5
标题：居然看到了一个熟悉的面孔 	 链接：http://tieba.baidu.com/p/5560111185	 发帖人：爱笑的deaths	 发帖时间：2-22	 回复数量：14
标题：小谢尔顿的眼睛好漂亮啊 	 链接：http://tieba.baidu.com/p/5526269174	 发帖人：耳朵Moonpie	 发帖时间：1-23	 回复数量：11
标题：刚刚回顾第六季 注意到个小细节 	 链接：http://tieba.baidu.com/p/5050368056	 发帖人：LTODD	 发帖时间：2017-04	 回复数量：10
标题：大家说说生活大爆炸里面3对情侣谁更幸福！ 	 链接：http://tieba.baidu.com/p/4915583005	 发帖人：尚丶Sir	 发帖时间：2016-12	 回复数量：9
标题：朋友们，姥姥睡觉前为什么要戴一个头箍？求科普 	 链接：http://tieba.baidu.com/p/5575602592	 发帖人：zcn1993	 发帖时间：3-3	 回复数量：7
标题：不知不觉，生活大爆炸已经伴随我们十一个年头了！以后几位主角的 	 链接：http://tieba.baidu.com/p/5570220742	 发帖人：zxl2144	 发帖时间：2-28	 回复数量：8
标题：谁知道哪里有同款白板和支架 	 链接：http://tieba.baidu.com/p/5571020673	 发帖人：熊瘾宝宝	 发帖时间：2-28	 回复数量：6
标题：和很熟的女孩，怎么把她变成女朋友W 	 链接：http://tieba.baidu.com/p/5574146792	 发帖人：菲然飘雪	 发帖时间：3-2	 回复数量：0
标题：闲来无事，重温生活大爆炸全集 	 链接：http://tieba.baidu.com/p/5500120678	 发帖人：高清影视...	 发帖时间：1-1	 回复数量：21
标题：第十季最后一集谢耳朵求婚不是全剧终么？？第十一季是啥？咋回事 	 链接：http://tieba.baidu.com/p/5577563437	 发帖人：752621192	 发帖时间：3-4	 回复数量：10
标题：大爆炸有一集里面伯纳黛特好像因为漂亮 得了一个漂亮女科学家的 	 链接：http://tieba.baidu.com/p/5557347211	 发帖人：猫爷_完...	 发帖时间：2-19	 回复数量：4
标题：关于这部已经拍了10季，11 12季成功预订了的美国喜剧，我 	 链接：http://tieba.baidu.com/p/5512144127	 发帖人：暴戾兔...	 发帖时间：1-11	 回复数量：17
标题：大神们 哪里能看 	 链接：http://tieba.baidu.com/p/5573371113	 发帖人：Haloi	 发帖时间：3-2	 回复数量：3
标题：最新一集里的那个娃娃好恐怖啊 	 链接：http://tieba.baidu.com/p/5094645716	 发帖人：温暖双耳	 发帖时间：2017-04	 回复数量：20
标题：生活大爆炸片头，每帧画面知识大扫盲 	 链接：http://tieba.baidu.com/p/1081149546	 发帖人：安妮霍尔_	 发帖时间：2014-02	 回复数量：2663
标题：开个新帖，从今天起，更新爆炸主创们的ins 	 链接：http://tieba.baidu.com/p/5544333608	 发帖人：宇智波谢...	 发帖时间：2-7	 回复数量：110
标题：最触动我的是，看着看着也对有现在做的事了热爱，也更喜欢现在的 	 链接：http://tieba.baidu.com/p/5576361052	 发帖人：一枚老司机e	 发帖时间：3-4	 回复数量：1
标题：开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com/p/1491364062	 发帖人：黑色诱惑1...	 发帖时间：2014-03	 回复数量：29997
标题：为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 链接：http://tieba.baidu.com/p/5017387510	 发帖人：絮灵儿	 发帖时间：2017-03	 回复数量：31
标题：谢尔顿讲黄笑话哈哈哈哈，对艾米的诱惑真的这么大吗 	 链接：http://tieba.baidu.com/p/5550031261	 发帖人：hey借个微笑	 发帖时间：2-12	 回复数量：5
标题：一起来涨姿势吧，生活大爆炸每一集知识详解 	 链接：http://tieba.baidu.com/p/4664329650	 发帖人：幽寒淡冷	 发帖时间：2016-07	 回复数量：1310
标题：有个梗没理解，求解 	 链接：http://tieba.baidu.com/p/4965603561	 发帖人：快乐的小...	 发帖时间：2017-02	 回复数量：12
标题：【TBBT】S11E15熟肉 	 链接：http://tieba.baidu.com/p/5545708275	 发帖人：玺子	 发帖时间：2-8	 回复数量：26
标题：【TBBT】《生活大爆炸》发布第十一季第16集剧照！ 	 链接：http://tieba.baidu.com/p/5544697568	 发帖人：玺子	 发帖时间：2-8	 回复数量：30
标题：今天想用迅雷下生活大爆炸为什么有版权了？有没有小伙伴和我一样 	 链接：http://tieba.baidu.com/p/5550259137	 发帖人：清平乐	 发帖时间：2-12	 回复数量：9
标题：谢尔顿的发型叫什么名字？ 	 链接：http://tieba.baidu.com/p/5572634964	 发帖人：凌宸极	 发帖时间：3-1	 回复数量：7
标题：小小滴分享一下~近200张动态图片和自制tbbt素材 	 链接：http://tieba.baidu.com/p/1255514296	 发帖人：墙角茕茇	 发帖时间：2014-03	 回复数量：2208
标题：重温了下第五季，突然发现小谢尔顿里谢尔顿的爹在生活大爆炸里客 	 链接：http://tieba.baidu.com/p/5559042447	 发帖人：SylviaCJY	 发帖时间：2-21	 回复数量：9
标题：为啥谢耳朵妈妈是教徒还那么种族歧视？ 	 链接：http://tieba.baidu.com/p/4885648176	 发帖人：铁马秋风...	 发帖时间：2016-12	 回复数量：72
标题：少年谢耳朵 	 链接：http://tieba.baidu.com/p/5575530211	 发帖人：立地成佛9	 发帖时间：3-3	 回复数量：1
标题：这是哪一集？amy给猴子做海洛因实验，扔大便朝她。 	 链接：http://tieba.baidu.com/p/5575499995	 发帖人：寒秋after	 发帖时间：3-3	 回复数量：0
标题：我念念不忘的ALEX怎么就再也不出现了呢 	 链接：http://tieba.baidu.com/p/5017808366	 发帖人：夜色小路L...	 发帖时间：2017-03	 回复数量：19
标题：分享：自用分享麦吉丽素颜三部曲，有用的小伙伴一起谈谈感受 	 链接：http://tieba.baidu.com/p/5574852539	 发帖人：AnnaZhyanyang	 发帖时间：3-3	 回复数量：1
标题：大学英语老师强力推荐的，学英语必备，最喜欢谢耳朵 	 链接：http://tieba.baidu.com/p/5553486567	 发帖人：小排骨的嘛	 发帖时间：2-15	 回复数量：23
标题：《谈判官》大结局  《凤囚凰》大结局  《烈火如歌》1～6 	 链接：http://tieba.baidu.com/p/5575090444	 发帖人：阿阿瑶瑶0...	 发帖时间：3-3	 回复数量：1
标题：【少年谢尔顿】反思录 	 链接：http://tieba.baidu.com/p/5560673195	 发帖人：玺子	 发帖时间：2-22	 回复数量：4
标题：《生活大爆炸》漫画！大爱《生活大爆炸》，特别是谢耳朵，终于有 	 链接：http://tieba.baidu.com/p/5565953656	 发帖人：谢尔顿...	 发帖时间：2-25	 回复数量：37
标题：很好奇少年谢耳朵的这位越南好基友后来干什么去了 	 链接：http://tieba.baidu.com/p/5488499844	 发帖人：简称顿...	 发帖时间：2017-12	 回复数量：25
标题：！！！！！来人鉴定一下，谢耳朵看的是不是  阿衰！！！0704 	 链接：http://tieba.baidu.com/p/5551253810	 发帖人：花生怎么样	 发帖时间：2-13	 回复数量：11
标题：想不通为什么有人不喜欢谢尔顿，难道是我不正常吗？ 	 链接：http://tieba.baidu.com/p/906070056	 发帖人：0.0.0.*	 发帖时间：2014-01	 回复数量：37
标题：艾米的加入是大爆炸的败笔 	 链接：http://tieba.baidu.com/p/5123543120	 发帖人：小嶋阳菜...	 发帖时间：2017-05	 回复数量：435
标题：图解《生活大爆炸》 	 链接：http://tieba.baidu.com/p/4701782158	 发帖人：流云飞扬go	 发帖时间：2016-07	 回复数量：2231
标题：S11E14这个女的看着很眼熟，还演过哪部美剧？ 	 链接：http://tieba.baidu.com/p/5522636649	 发帖人：死吖	 发帖时间：1-20	 回复数量：16
标题：开个帖，记录一下截屏的图，以后拿来发朋友圈 	 链接：http://tieba.baidu.com/p/5555207140	 发帖人：bboystruggle	 发帖时间：2-17	 回复数量：19
标题：求片尾曲吉他谱>_< 	 链接：http://tieba.baidu.com/p/4592470004	 发帖人：糖糖果果熙	 发帖时间：2016-06	 回复数量：6
标题：Emily的衣柜里到底有啥！ 	 链接：http://tieba.baidu.com/p/3622498359	 发帖人：雪若文_	 发帖时间：2015-03	 回复数量：51
标题：本来在Joey里看到Howard我就很诧异了，结果S2E17 	 链接：http://tieba.baidu.com/p/5416350668	 发帖人：Joanna	 发帖时间：2017-11	 回复数量：46
标题：有没有少年谢耳朵的资源啊？ 	 链接：http://tieba.baidu.com/p/5478485986	 发帖人：灰色轨迹...	 发帖时间：2017-12	 回复数量：19
标题：wow 生活大爆炸晚上开播 	 链接：http://tieba.baidu.com/p/3310130848	 发帖人：g35981	 发帖时间：2014-09	 回复数量：30
标题：霍华德搞笑中文 	 链接：http://tieba.baidu.com/p/5518810982	 发帖人：2726104	 发帖时间：1-17	 回复数量：22
标题：谢尔顿为intel拍的两个广告，好可爱 	 链接：http://tieba.baidu.com/p/3425366189	 发帖人：narutoxiuzi	 发帖时间：2014-11	 回复数量：12
标题：又一位客串生活大爆炸的巨星离世了 亚当·韦斯特 第一任蝙蝠侠 	 链接：http://tieba.baidu.com/p/5195532177	 发帖人：一堆轮子	 发帖时间：2017-06	 回复数量：0
标题：大家看这集伯纳黛特在偷看台词啊 	 链接：http://tieba.baidu.com/p/5283211803	 发帖人：未若人间...	 发帖时间：2017-08	 回复数量：3
标题：这是第几季？第几集？ 	 链接：http://tieba.baidu.com/p/5569268317	 发帖人：Holy	 发帖时间：2-27	 回复数量：10
标题：克莱尔妹纸这胸 	 链接：http://tieba.baidu.com/p/5563836730	 发帖人：耳朵Moonpie	 发帖时间：2-24	 回复数量：20
标题：【吧规+导航】《TBBT吧》删帖封禁标准，不看被删/封别找吧务 	 链接：http://tieba.baidu.com/p/3070074029	 发帖人：将轨	 发帖时间：2014-05	 回复数量：48
标题：生活大爆炸测试题，你能撑到第几题？ 	 链接：http://tieba.baidu.com/p/5565359914	 发帖人：是你的辣...	 发帖时间：2-25	 回复数量：36
标题：生活大爆炸居然就这样完结了！！！ 	 链接：http://tieba.baidu.com/p/5115173657	 发帖人：酒曲白黎	 发帖时间：2017-05	 回复数量：52
标题：剧里那些可爱的字幕 	 链接：http://tieba.baidu.com/p/4355462532	 发帖人：蚊子54321	 发帖时间：2016-02	 回复数量：42
标题：【TBBT】S09E24熟肉+集中讨论帖(S09季终) 	 链接：http://tieba.baidu.com/p/4544926749	 发帖人：将轨	 发帖时间：2016-05	 回复数量：310
标题：找个笔友   不见面的那种…不聊微信不聊扣扣的那种 	 链接：http://tieba.baidu.com/p/5548893747	 发帖人：梨梨梨啊	 发帖时间：2-11	 回复数量：45
标题：为什么《生活大爆炸》第十一季第十六集不更新？？？ 	 链接：http://tieba.baidu.com/p/5572204786	 发帖人：123呵呵哈哈22	 发帖时间：3-1	 回复数量：2
标题：这就是我觉得两部剧的不同 	 链接：http://tieba.baidu.com/p/5572174923	 发帖人：科学官谢...	 发帖时间：3-1	 回复数量：0
标题：深藏不露！拉杰什居然是生活大爆炸中隐藏的富二代！ 	 链接：http://tieba.baidu.com/p/5380778905	 发帖人：沐K拉哇	 发帖时间：2017-10	 回复数量：18
标题：Amy和Bert结婚了→_→ 	 链接：http://tieba.baidu.com/p/2811383716	 发帖人：若清思竹	 发帖时间：2014-01	 回复数量：3
标题：s11e09里面霍华德他妈妈的配音是怎么来的 	 链接：http://tieba.baidu.com/p/5553074590	 发帖人：两仪	 发帖时间：2-15	 回复数量：7
标题：喜欢的盆友进，这碗狗粮我干了* 	 链接：http://tieba.baidu.com/p/5360361842	 发帖人：9mmjmo	 发帖时间：2017-10	 回复数量：10
标题：注意看右边克莱尔妹纸 	 链接：http://tieba.baidu.com/p/5555130371	 发帖人：耳朵Moonpie	 发帖时间：2-17	 回复数量：26
标题：生活大爆炸第六季第19集中，谁说的是霍沃德父亲的信 	 链接：http://tieba.baidu.com/p/5489916969	 发帖人：航行永远	 发帖时间：2017-12	 回复数量：5
标题：谢耳朵和Amy第一次接吻是哪集啊 	 链接：http://tieba.baidu.com/p/5570935531	 发帖人：玛丽有只	 发帖时间：2-28	 回复数量：2
标题：为什么总觉得爱情公寓和生活大爆炸很像，有中国版的生活大爆炸吗 	 链接：http://tieba.baidu.com/p/5524502797	 发帖人：我不是湿人	 发帖时间：1-22	 回复数量：26
标题：惊了！谢尔顿居然没坐在他的专座上！ 	 链接：http://tieba.baidu.com/p/5551044576	 发帖人：太宰疲	 发帖时间：2-13	 回复数量：3
标题：这是第几季第几集啊让我先笑会儿 	 链接：http://tieba.baidu.com/p/5569256381	 发帖人：Holy	 发帖时间：2-27	 回复数量：4
标题：生活大爆炸5E10    看我发现了什么！！ 	 链接：http://tieba.baidu.com/p/5261628688	 发帖人：超级忐忐...	 发帖时间：2017-08	 回复数量：1
标题：11季最后的结局预测？大爆炸十一季即将结束，将会有什么样的结 	 链接：http://tieba.baidu.com/p/5568541132	 发帖人：zxl2144	 发帖时间：2-27	 回复数量：5
标题：生活大爆炸第十季11集看哭了 	 链接：http://tieba.baidu.com/p/4902827203	 发帖人：pc826	 发帖时间：2016-12	 回复数量：45
标题：讨论帖 raj的几个女朋友你喜欢谁 	 链接：http://tieba.baidu.com/p/4966911202	 发帖人：A溺于深海	 发帖时间：2017-02	 回复数量：171
标题：希望我能把一天的好运气都给你！！！ 	 链接：http://tieba.baidu.com/p/5570035755	 发帖人：jgsajj	 发帖时间：2-28	 回复数量：0
标题：有人知道tbbt里面谢耳朵家里的白板和那个支架在哪里有同款卖 	 链接：http://tieba.baidu.com/p/5569871484	 发帖人：熊瘾宝宝	 发帖时间：2-28	 回复数量：0
标题：不知道大伙有没有这种疑问，剧中演员的片酬是多少，一年中工作小 	 链接：http://tieba.baidu.com/p/5566579158	 发帖人：紫荆星竹	 发帖时间：2-26	 回复数量：2
标题：谢耳朵结婚了 	 链接：http://tieba.baidu.com/p/5118732401	 发帖人：初难追	 发帖时间：2017-05	 回复数量：48
标题：Howard父亲的信，Bernadette说的才是真的，你怎么看？ 	 链接：http://tieba.baidu.com/p/2227788459	 发帖人：Season_of_笔	 发帖时间：2013-05	 回复数量：45
标题：前两周没有更新吗？ 	 链接：http://tieba.baidu.com/p/5565164541	 发帖人：优雅先生M	 发帖时间：2-25	 回复数量：1
标题：十一季16集怎么这么久都不更新？有大神知道什么时候会更吗？ 	 链接：http://tieba.baidu.com/p/5557168017	 发帖人：流下颠倒	 发帖时间：2-19	 回复数量：13
标题：看了这么久，觉得这一些人里面就莱纳德人品不行。 	 链接：http://tieba.baidu.com/p/3841146050	 发帖人：火山冰点	 发帖时间：2015-06	 回复数量：45
标题：总觉得伯纳黛特和霍华德更像夫妻 	 链接：http://tieba.baidu.com/p/5139544180	 发帖人：二楼sabi	 发帖时间：2017-05	 回复数量：11
标题：分享：有想要了解瘦身产品《一代女皇》可以扫二维码加下方微信 	 链接：http://tieba.baidu.com/p/5568191231	 发帖人：眉俏那片情	 发帖时间：2-27	 回复数量：0
标题：科恩纳石英石水槽怎么样，一千多价格的水槽质量真的可以吗？ 	 链接：http://tieba.baidu.com/p/5534198854	 发帖人：哀伤的歌...	 发帖时间：1-30	 回复数量：4
标题：卡罗德立式钢琴C2怎么样，音质真的很一般吗？ 	 链接：http://tieba.baidu.com/p/5547623685	 发帖人：落幕的希...	 发帖时间：2-10	 回复数量：4
标题：还有人记得谢耳朵鄙视霍华德是工程师 这是哪一集吗 	 链接：http://tieba.baidu.com/p/5566637420	 发帖人：纪检年份瞻	 发帖时间：2-26	 回复数量：3
标题：因为不是喜剧，是悲剧，就说小谢尔顿这部剧很难看？？ 	 链接：http://tieba.baidu.com/p/5499312808	 发帖人：耳朵Moonpie	 发帖时间：2017-12	 回复数量：29
标题：谢耳朵吃的麦片为什么没有卖的… 	 链接：http://tieba.baidu.com/p/5567625813	 发帖人：loveswetty	 发帖时间：2-26	 回复数量：0
标题：哈哈哈哈哈哈哈哈伯纳黛特的那个孩子 	 链接：http://tieba.baidu.com/p/4917358579	 发帖人：D白恋	 发帖时间：2016-12	 回复数量：0
标题：#生活大爆炸#这可以做情头了有木有！！ 	 链接：http://tieba.baidu.com/p/5361196737	 发帖人：JC教主公...	 发帖时间：2017-10	 回复数量：0
标题：奥克斯 HX-PB835破壁机怎么样，可有说的那么靠谱 	 链接：http://tieba.baidu.com/p/5562313655	 发帖人：逝去的人流	 发帖时间：2-23	 回复数量：3
标题：求助 	 链接：http://tieba.baidu.com/p/5123475971	 发帖人：罹晟睿	 发帖时间：2017-05	 回复数量：4
标题：看看吧！为爱情公寓洗地的是如何发言 	 链接：http://tieba.baidu.com/p/5554755132	 发帖人：轩辕一叶	 发帖时间：2-17	 回复数量：11
标题：【生活大爆炸大神进来回答一下！】 	 链接：http://tieba.baidu.com/p/5563992850	 发帖人：前排带我...	 发帖时间：2-24	 回复数量：1
标题：谢尔顿用的电子琴是什么牌子的 	 链接：http://tieba.baidu.com/p/5563605326	 发帖人：大胖萌	 发帖时间：2-24	 回复数量：0
标题：有木有觉得镇楼图很惊悚 	 链接：http://tieba.baidu.com/p/5556264058	 发帖人：二代青雉	 发帖时间：2-18	 回复数量：3
标题：你所不知道的Amy 	 链接：http://tieba.baidu.com/p/4990672549	 发帖人：鬮乆	 发帖时间：2017-02	 回复数量：35
标题：生活大爆炸哪个字幕组翻译的最好？ 	 链接：http://tieba.baidu.com/p/5519908919	 发帖人：小肥涛涛	 发帖时间：1-18	 回复数量：16
标题：问下生活大爆炸的演员在演戏的时候旁边有很多观众吗？那么多笑声？ 	 链接：http://tieba.baidu.com/p/908908462	 发帖人：0.0.0.*	 发帖时间：2012-01	 回复数量：24
标题：有你们陪伴这个假期很开心😊 	 链接：http://tieba.baidu.com/p/5359320345?fid=1441624	 发帖人：校长借个...	 发帖时间：2017-10	 回复数量：2
标题：谢耳朵死敌 威尔·惠顿 年轻时的照片！ 	 链接：http://tieba.baidu.com/p/5465743457	 发帖人：meastt	 发帖时间：2017-12	 回复数量：30
标题：2018春节活动强势来袭，中国银联云闪付APP发红包，最高可 	 链接：http://tieba.baidu.com/p/5564181067	 发帖人：老王家的...	 发帖时间：2-24	 回复数量：0
标题：谢耳朵的哥哥是不是在生活大爆炸里从没出场过？ 	 链接：http://tieba.baidu.com/p/5452089394	 发帖人：铁马秋风...	 发帖时间：2017-11	 回复数量：30
标题：中国的影迷们！你们好！ 	 链接：http://tieba.baidu.com/p/5081557204	 发帖人：华夏型茶...	 发帖时间：2017-04	 回复数量：58
标题：把前女友聚在一起的拉杰 	 链接：http://tieba.baidu.com/p/5288565004	 发帖人：中国式半仙	 发帖时间：2017-08	 回复数量：1
标题：大爆炸里一些演员的年龄和身高 	 链接：http://tieba.baidu.com/p/3222691277	 发帖人：鬽saiki	 发帖时间：2014-08	 回复数量：92
标题：关于第六季第18集的疑问 	 链接：http://tieba.baidu.com/p/4974174349	 发帖人：zyy1998429	 发帖时间：2017-02	 回复数量：24
标题：还是Bernadette好看啊 	 链接：http://tieba.baidu.com/p/5540798561	 发帖人：艾玛沃...	 发帖时间：2-4	 回复数量：3
